Name,Section,Availability,Mass per metre   kg/m,Depth of section  h mm,Width of section  b mm,Thickness Web tw mm,Thickness Flange tf mm,Root radius  r mm,Depth between fillets  d mm,Ratios for local buckling Web cw / tw ,Ratios for local buckling Flange cf / tf ,Notch End clearance C mm,Notch Notch N mm,Notch  n mm,Surface area Per metre  m2,Surface area Per tonne  m2,Second moment of area Axis y-y  cm4,Second moment of area Axis z-z  cm4,Radius of gyration Axis y-y  cm,Radius of gyration Axis z-z  cm,Elastic modulus Axis y-y  cm3,Elastic modulus Axis z-z  cm3,Plastic modulus Axis y-y  cm3,Plastic modulus Axis z-z  cm3,Buckling parameter  U ,Torsional index  X ,Warping constant  Iw dm6,Torsional constant  IT cm4,Area of section  A cm2
UB914x419x388,914x419x388UB,Standard,388.0,921.0,420.5,21.4,36.6,24.1,799.6,37.4,4.79,13.0,210.0,62.0,3.440,8.9,720000.0,45400.0,38.20,9.59,15600.0,2160.0,17700.0,3340.0,0.885,26.7,88.9,1730.00,494.0
UB914x419x343,914x419x343UB,Standard,343.3,911.8,418.5,19.4,32.0,24.1,799.6,41.2,5.48,12.0,210.0,58.0,3.420,10.0,626000.0,39200.0,37.80,9.46,13700.0,1870.0,15500.0,2890.0,0.884,30.1,75.8,1190.00,437.0
UB914x305x576,914x305x576UB,Standard,576.0,993.0,322.0,36.1,65.0,19.0,824.8,22.8,1.91,20.0,154.0,86.0,3.460,6.0,1102000.0,36500.0,38.80,7.06,22200.0,2270.0,26300.0,3660.0,0.874,16.8,77.9,7130.00,733.0
UB914x305x521,914x305x521UB,Standard,521.0,981.0,319.0,33.0,58.9,19.0,824.8,25.0,2.11,19.0,154.0,80.0,3.170,6.1,982000.0,32100.0,38.50,6.96,20000.0,2020.0,23600.0,3240.0,0.873,18.3,67.7,5340.00,664.0
UB914x305x474,914x305x474UB,Standard,474.0,971.0,316.0,30.0,54.1,19.0,824.8,27.5,2.29,17.0,154.0,74.0,3.140,6.6,886000.0,28700.0,38.30,6.89,18200.0,1810.0,21400.0,2900.0,0.873,19.8,59.8,4100.00,604.0
UB914x305x425,914x305x425UB,Standard,425.0,961.0,313.0,26.9,49.0,19.0,824.8,30.7,2.53,15.0,154.0,70.0,3.110,7.3,788000.0,25200.0,38.10,6.82,16400.0,1610.0,19100.0,2560.0,0.874,21.8,52.1,3030.00,542.0
UB914x305x381,914x305x381UB,Standard,381.0,951.0,310.0,24.4,43.9,19.0,824.8,33.8,2.82,14.0,154.0,64.0,3.090,8.1,697000.0,21900.0,37.90,6.72,14600.0,1410.0,17000.0,2240.0,0.873,24.1,44.8,2200.00,486.0
UB914x305x345,914x305x345UB,Standard,345.0,943.0,308.0,22.1,39.9,19.0,824.8,37.3,3.11,13.0,154.0,60.0,3.060,8.9,626000.0,19500.0,37.70,6.66,13300.0,1270.0,15400.0,2000.0,0.873,26.3,39.6,1650.00,440.0
UB914x305x313,914x305x313UB,Standard,313.0,932.0,309.0,21.1,34.5,19.0,824.8,39.1,3.62,13.0,154.0,54.0,3.040,9.7,548000.0,17000.0,37.10,6.54,11800.0,1100.0,13600.0,1750.0,0.867,29.7,34.2,1160.00,398.0
UB914x305x289,914x305x289UB,Standard,289.1,926.6,307.7,19.5,32.0,19.1,824.4,42.3,3.91,12.0,156.0,52.0,3.010,10.4,504000.0,15600.0,37.00,6.51,10900.0,1010.0,12600.0,1600.0,0.868,31.9,31.2,926.00,368.0
UB914x305x271,914x305x271UB,Standard,271.0,923.0,307.0,18.4,30.0,19.0,824.8,44.8,4.18,11.0,156.0,50.0,3.010,11.1,472000.0,14500.0,36.90,6.48,10200.0,946.0,11800.0,1490.0,0.867,33.8,28.8,769.00,346.0
UB914x305x253,914x305x253UB,Standard,253.4,918.4,305.5,17.3,27.9,19.1,824.4,47.7,4.48,11.0,156.0,48.0,2.990,11.8,436000.0,13300.0,36.80,6.42,9500.0,871.0,10900.0,1370.0,0.864,36.2,26.4,626.00,323.0
UB914x305x238,914x305x238UB,Standard,238.0,915.0,305.0,16.5,25.9,19.0,824.8,50.0,4.84,10.0,156.0,46.0,2.990,12.6,406000.0,12300.0,36.60,6.36,8880.0,806.0,10200.0,1270.0,0.865,38.6,24.2,514.00,304.0
UB914x305x224,914x305x224UB,Standard,224.2,910.4,304.1,15.9,23.9,19.1,824.4,51.8,5.23,10.0,156.0,44.0,2.970,13.2,376000.0,11200.0,36.30,6.27,8270.0,739.0,9530.0,1160.0,0.86,41.4,22.1,422.00,286.0
UB914x305x201,914x305x201UB,Standard,200.9,903.0,303.3,15.1,20.2,19.1,824.4,54.6,6.19,10.0,156.0,40.0,2.960,14.7,325000.0,9420.0,35.70,6.07,7200.0,621.0,8350.0,982.0,0.853,46.9,18.4,291.00,256.0
UB838x292x226,838x292x226UB,Standard,226.5,850.9,293.8,16.1,26.8,17.8,761.7,47.3,4.52,10.0,150.0,46.0,2.810,12.4,340000.0,11400.0,34.30,6.27,7980.0,773.0,9160.0,1210.0,0.87,34.9,19.3,514.00,289.0
UB838x292x194,838x292x194UB,Standard,193.8,840.7,292.4,14.7,21.7,17.8,761.7,51.8,5.58,9.0,150.0,40.0,2.790,14.4,279000.0,9070.0,33.60,6.06,6640.0,620.0,7640.0,974.0,0.862,41.6,15.2,306.00,247.0
UB838x292x176,838x292x176UB,Standard,175.9,834.9,291.7,14.0,18.8,17.8,761.7,54.4,6.44,9.0,150.0,38.0,2.780,15.8,246000.0,7800.0,33.10,5.90,5890.0,535.0,6810.0,842.0,0.856,46.5,13,221.00,224.0
